phrase,label,confidence,source
yorick chuckles menacingly,0,0.977,LoL/Yorick
yorick chuckles menacingly,0,0.977,LoL/Yorick
yorick chuckles menacingly,0,0.977,LoL/Yorick
ah yes i remember what laughter sounds like,0,0.968,LoL/Yorick
prepare your epitaph,0,0.929,LoL/Yorick
no eulogy for you,0,0.951,LoL/Yorick
scatter their remains,1,0.924,LoL/Yorick
you are beyond saving,0,0.926,LoL/Yorick
i will not damn you i will end you,1,0.988,LoL/Yorick
your tomb awaits,1,0.973,LoL/Yorick
respects to the dying,1,0.908,LoL/Yorick
your end is nigh,1,0.967,LoL/Yorick
the beyond awaits you,1,0.978,LoL/Yorick
you are to die,1,0.974,LoL/Yorick
so many souls to liberate,1,0.975,LoL/Yorick
the mist comes for you,1,0.977,LoL/Yorick
the grave is your home,1,0.979,LoL/Yorick
flesh that will soon find earth,1,0.991,LoL/Yorick
you decay and do not know it,1,0.984,LoL/Yorick
to dirt you return,1,0.947,LoL/Yorick
i am to bury you,1,0.924,LoL/Yorick
you will rot,1,0.95,LoL/Yorick
i need your essence great beast,1,0.971,LoL/Yorick
your kind is supposed to live long i am sorry,1,0.945,LoL/Yorick
even your kind will join the mist,1,0.989,LoL/Yorick
the isles remember,0,0.989,LoL/Yorick
i must dig,0,0.986,LoL/Yorick
join me brother,0,0.977,LoL/Yorick
die with me brothers and be free,1,0.976,LoL/Yorick
some of these faces i know well,0,0.978,LoL/Yorick
ah yes i remember you,0,0.985,LoL/Yorick
this horde consumes all,1,0.981,LoL/Yorick
return and fight,0,0.955,LoL/Yorick
i thank you for your service,0,0.987,LoL/Yorick
they rise they fight they rot,1,0.991,LoL/Yorick
arise and return to this world,1,0.972,LoL/Yorick
walk once more,0,0.982,LoL/Yorick
its good to see you,0,0.99,LoL/Yorick
wake up you have a new task,0,0.978,LoL/Yorick
welcome back you wont be here long,0,0.987,LoL/Yorick
allies from below,0,0.989,LoL/Yorick
its you they seek,1,0.924,LoL/Yorick
the ruins of these isles rise to smite you,1,0.989,LoL/Yorick
wont you join them,0,0.979,LoL/Yorick
the damned resist their fate,1,0.99,LoL/Yorick
watch them squirm,0,0.975,LoL/Yorick
to destroy the curse i use it,1,0.987,LoL/Yorick
this never ends,0,0.964,LoL/Yorick
an unholy mark upon you,1,0.977,LoL/Yorick
a curse upon the ground,1,0.979,LoL/Yorick
it claims you,0,0.949,LoL/Yorick
go take what you will,0,0.977,LoL/Yorick
behold the horrors of theisles,1,0.979,LoL/Yorick
see the maiden she comes foryou,1,0.972,LoL/Yorick
do not resist,0,0.945,LoL/Yorick
the mist takes all,1,0.982,LoL/Yorick
more more for the black maw of the mist,1,0.99,LoL/Yorick
we are not corruption we are strength,1,0.922,LoL/Yorick
all will join,0,0.985,LoL/Yorick
we devour it it becomes us,1,0.987,LoL/Yorick
we are stronger we shall take all,1,0.957,LoL/Yorick
your remains will serve a purpose,1,0.966,LoL/Yorick
flesh torn asunder flesh reborn,1,0.992,LoL/Yorick
it is necessary,0,0.987,LoL/Yorick
all things decay,1,0.987,LoL/Yorick
everything that stands must fall,1,0.987,LoL/Yorick
forward we press,0,0.985,LoL/Yorick
dont bury me with it you cant take it with you,1,0.947,LoL/Yorick
material items for the material world,0,0.954,LoL/Yorick
the sword of a fool,1,0.974,LoL/Yorick
the blade of the father,1,0.987,LoL/Yorick
a tyrant who will pay for his crimes,1,0.971,LoL/Yorick
this blade has performed great feats,0,0.962,LoL/Yorick
and i will use it to undo them,0,0.923,LoL/Yorick
mere rags soon to fade,1,0.978,LoL/Yorick
the dead need no armor but i do,1,0.98,LoL/Yorick
taken from one who can no longer use it,0,0.965,LoL/Yorick
it fits me to perfection,0,0.975,LoL/Yorick
to slow the fleet of foot,0,0.971,LoL/Yorick
as cold as the hand of death,1,0.99,LoL/Yorick
red is the heart that barely beats in me,1,0.985,LoL/Yorick
a vital ornament,0,0.983,LoL/Yorick
sometimes the dead can give life,1,0.991,LoL/Yorick
a ghastly armament,0,0.95,LoL/Yorick
a gift from kind specters,0,0.972,LoL/Yorick
theyll find me hard to bury,1,0.957,LoL/Yorick
gives life when death is near,1,0.99,LoL/Yorick
to cremate my foes,1,0.986,LoL/Yorick
the fire of life burns within,1,0.987,LoL/Yorick
the only warmth ive found,0,0.942,LoL/Yorick
to delay the end,0,0.948,LoL/Yorick
my path is a circle my work neverending,1,0.976,LoL/Yorick
you retreat like a coward,1,0.957,LoL/Yorick
i will return anon,0,0.99,LoL/Yorick
i see thewolf,0,0.939,LoL/Yorick
the shock of resurrection quickly passes,1,0.961,LoL/Yorick
ive come too far to stay dead,1,0.989,LoL/Yorick
revived by the tears of life,1,0.982,LoL/Yorick
one day i will no longer awaken,1,0.945,LoL/Yorick
the beyond is not given it is earned,1,0.987,LoL/Yorick
our time has not yet come,0,0.971,LoL/Yorick
yorick playslightbringeron the bass guiar,0,0.982,LoL/Yorick
yorick playsgathering stormon the bass guitar,0,0.981,LoL/Yorick
yorick plays a tune on thekoto,0,0.986,LoL/Yorick
yoricks theme plays,0,0.991,LoL/Yorick
arclight yoricks theme plays,0,0.989,LoL/Yorick
meowricks theme plays,0,0.989,LoL/Yorick
resistance yoricks theme plays,0,0.99,LoL/Yorick
spirit blossom yoricks theme plays,0,0.978,LoL/Yorick
yorick playsgathering stormon the bass guitar,0,0.981,LoL/Yorick
we shall rise to this challenge,0,0.939,LoL/Yorick
behold the might of the shadow isles,1,0.982,LoL/Hecarim
i do not rest,0,0.966,LoL/Hecarim
war is eternal,1,0.985,LoL/Hecarim
their souls beg for release,1,0.985,LoL/Hecarim
the grave calls,1,0.967,LoL/Hecarim
i do not rest,0,0.966,LoL/Hecarim
i am beyond death,1,0.982,LoL/Hecarim
life is fleeting,1,0.927,LoL/Hecarim
your life is a burden i bring you freedom,1,0.987,LoL/Hecarim
you wont live to see your world destroyed,1,0.985,LoL/Hecarim
another blue ribbon for hecarim,0,0.982,LoL/Hecarim
suffering is magic,1,0.977,LoL/Hecarim
break their ranks,1,0.961,LoL/Hecarim
trample their bones,1,0.956,LoL/Hecarim
the living will fall,1,0.99,LoL/Hecarim
hecarim performs a guitar solo,0,0.987,LoL/Hecarim
they fear me they should,1,0.988,LoL/Warwick
the chains are broken the beast is free,1,0.989,LoL/Warwick
the blood you spilledcallsto me,1,0.988,LoL/Warwick
i am in control,0,0.951,LoL/Warwick
cant save you all dont want to,0,0.907,LoL/Warwick
i became the monster i always was,1,0.953,LoL/Warwick
try to hide,0,0.98,LoL/Warwick
the memories come back every time you scream,1,0.918,LoL/Warwick
i can smell everything,0,0.964,LoL/Warwick
zaun will watch you bleed and it will do nothing,1,0.984,LoL/Warwick
all the blood youve spilled brought me here,1,0.987,LoL/Warwick
zaun will fight back,0,0.981,LoL/Warwick
you know what youve done,0,0.98,LoL/Warwick
this place is familiar,0,0.984,LoL/Warwick
the beast grows stronger,1,0.988,LoL/Warwick
run while you can,0,0.986,LoL/Warwick
what have you done,0,0.991,LoL/Warwick
cant save you,0,0.98,LoL/Warwick
nine tails to chase,0,0.929,LoL/Warwick
theres more to kill in a plague rat youre all machine,1,0.989,LoL/Warwick
so deep in piltovers pockets i can only see your hat,0,0.933,LoL/Warwick
blood hextech and sniffs tea,0,0.914,LoL/Warwick
rewind too far and youll be back in my teeth,1,0.954,LoL/Warwick
the one person in zaun who runs to the past,1,0.9,LoL/Warwick
ill show you pain,1,0.915,LoL/Warwick
you were there,0,0.991,LoL/Warwick
from a roar to a scream,1,0.917,LoL/Warwick
you cant even kill an insect,0,0.954,LoL/Warwick
youre going to need more bandages,0,0.967,LoL/Warwick
i remember what you did,0,0.989,LoL/Warwick
and i thought thechembaronswere vermin,0,0.957,LoL/Warwick
which one of us is the monster,1,0.971,LoL/Warwick
zaun needed you,0,0.985,LoL/Warwick
who taught you how to punch,0,0.986,LoL/Warwick
the fear in your eyes ive seen it before,1,0.976,LoL/Warwick
three arms and no claws,0,0.954,LoL/Warwick
first ill kill you and then ill yordle,1,0.989,LoL/Warwick
violence can be deathor a way of life,1,0.99,LoL/Warwick
i ran these streetsnow its your turn to run,0,0.9,LoL/Warwick
ill do a trick for a warwick snack,0,0.979,LoL/Warwick
scratch behind my ears,0,0.959,LoL/Warwick
whos a good boy i am,0,0.977,LoL/Warwick
warwick snickers slyly,0,0.984,LoL/Warwick
warwick snickers slyly,0,0.984,LoL/Warwick
warwick snickers slyly,0,0.984,LoL/Warwick
blood is the price,1,0.952,LoL/Warwick
youll answer to me,0,0.988,LoL/Warwick
its not the beast you should be afraid of,1,0.954,LoL/Warwick
killing i remember,0,0.987,LoL/Warwick
heroes always die,1,0.968,LoL/Warwick
if you die how many live,1,0.989,LoL/Warwick
blood brings rage,1,0.99,LoL/Warwick
the killing stops when zaun is free,1,0.987,LoL/Warwick
a monsters inside you ill tear it out,1,0.99,LoL/Warwick
give in to the beast,1,0.987,LoL/Warwick
like men to the slaughter,1,0.984,LoL/Warwick
it takes a monster to gut one,1,0.954,LoL/Warwick
you hurt them i hurt you,1,0.972,LoL/Warwick
youll choke on your screams,1,0.961,LoL/Warwick
youre the prey,1,0.967,LoL/Warwick
less talking more biting,0,0.965,LoL/Warwick
this pain is nothing,1,0.919,LoL/Warwick
this is who i am,0,0.987,LoL/Warwick
not even your screams will escape,1,0.981,LoL/Warwick
give in the beast,1,0.988,LoL/Warwick
watch you bleed,1,0.947,LoL/Warwick
warwick growls in annoyance,0,0.972,LoL/Warwick
warwick growls in annoyance,0,0.972,LoL/Warwick
warwick growls in annoyance,0,0.972,LoL/Warwick
warwick barks and grunts,0,0.982,LoL/Warwick
warwick barks and grunts,0,0.982,LoL/Warwick
warwick barks and grunts,0,0.982,LoL/Warwick
warwick barks and grunts,0,0.982,LoL/Warwick
warwick barks repeatedly,0,0.979,LoL/Warwick
warwick barks repeatedly,0,0.979,LoL/Warwick
warwick barks repeatedly,0,0.979,LoL/Warwick
warwick barks repeatedly,0,0.979,LoL/Warwick
back to killingchembarons,0,0.933,LoL/Warwick
i have your scent,0,0.985,LoL/Warwick
you killed warwick but left the beast,1,0.982,LoL/Warwick
i almost felt that,0,0.98,LoL/Warwick
a shortened version of the 2015 urf login theme plays,0,0.982,LoL/Warwick
warwick laughs maniacally,0,0.982,LoL/Warwick
warwick laughs maniacally,0,0.982,LoL/Warwick
warwick laughs maniacally,0,0.982,LoL/Warwick
i can smell your fear,1,0.925,LoL/Warwick
ill eat your heart starchild,1,0.963,LoL/Warwick
time to run,0,0.991,LoL/Warwick
heroes never die,1,0.967,LoL/Warwick
oh what a day what a lovely day,0,0.973,LoL/Warwick
the rivers will run red,1,0.937,LoL/Vladimir
im absolutely livid,0,0.93,LoL/Vladimir
my cup is half empty,0,0.969,LoL/Vladimir
please let it all out,0,0.971,LoL/Vladimir
lets pool our efforts,0,0.987,LoL/Vladimir
im absolutely livid,0,0.93,LoL/Vladimir
a vital decision,0,0.982,LoL/Vladimir
you look like someone whos got a lot going on beneath the surface,0,0.941,LoL/Vladimir
vladimir laughs maniacally,0,0.978,LoL/Vladimir
vladimir laughs maniacally,0,0.978,LoL/Vladimir
vladimir laughs maniacally,0,0.978,LoL/Vladimir
vladimir laughs maniacally,0,0.978,LoL/Vladimir
id love a pint,0,0.986,LoL/Vladimir
hmm something is leaking,0,0.951,LoL/Vladimir
care to make a donation,0,0.975,LoL/Vladimir
a draining exercise,0,0.981,LoL/Vladimir
i love a warrior with heart never a stale moment,1,0.979,LoL/Vladimir
vladimir grunts once and then again in satisfaction,0,0.975,LoL/Vladimir
vladimir grunts and exhales in satisfaction,0,0.954,LoL/Vladimir
vladimir inhales and exhales,0,0.959,LoL/Vladimir
vladimir inhales and exhales,0,0.959,LoL/Vladimir
vladimir laughs slyly,0,0.985,LoL/Vladimir
vladimir laughs slyly,0,0.985,LoL/Vladimir
vladimir laughs slyly,0,0.985,LoL/Vladimir
vladimir laughs slyly,0,0.985,LoL/Vladimir
vladimir breathes out noisily,0,0.906,LoL/Vladimir
vladimir breathes out noisily,0,0.906,LoL/Vladimir
vladimir breathes out noisily,0,0.906,LoL/Vladimir
vladimir breathes out noisily,0,0.906,LoL/Vladimir
in darkness i am truly alive,1,0.99,LoL/Vladimir
no one commands me,0,0.941,LoL/Vladimir
there is a monster in all of us,1,0.966,LoL/Vladimir
so much blood waiting for purpose,1,0.97,LoL/Vladimir
i shall leave this place in ruin,1,0.986,LoL/Vladimir
kneel before vlad,0,0.936,LoL/Vladimir
how long must i search to find a real challenge,0,0.918,LoL/Vladimir
bask in coughing what did you eat,0,0.937,LoL/Vladimir
vladimir wheezes and laughs maniacally,0,0.964,LoL/Vladimir
vladimir wheezes and laughs maniacally,0,0.964,LoL/Vladimir
vladimir wheezes and laughs maniacally,0,0.964,LoL/Vladimir
vladimir wheezes and laughs maniacally,0,0.964,LoL/Vladimir
vladimir shouts in effort,0,0.978,LoL/Vladimir
vladimir shouts in effort,0,0.978,LoL/Vladimir
vladimir shouts in effort,0,0.978,LoL/Vladimir
vladimir shouts in effort,0,0.978,LoL/Vladimir
feel the life drip away,1,0.979,LoL/Vladimir
i want to make this last,0,0.987,LoL/Vladimir
the night shall consume them,1,0.991,LoL/Vladimir
witness the depths of despair,1,0.98,LoL/Vladimir
slake my thirst,1,0.958,LoL/Vladimir
vladimir laughs maniacally,0,0.978,LoL/Vladimir
vladimir laughs maniacally,0,0.978,LoL/Vladimir
vladimir laughs maniacally,0,0.978,LoL/Vladimir
vladimir laughs maniacally,0,0.978,LoL/Vladimir
vladimir shouts in great effort,0,0.973,LoL/Vladimir
vladimir exhales noisily,0,0.957,LoL/Vladimir
vladimir exhales noisily,0,0.957,LoL/Vladimir
vladimir exhales noisily,0,0.957,LoL/Vladimir
i sincerely hope youre pumped for this,0,0.985,LoL/Vladimir
you are truly the vessels of my destruction,1,0.991,LoL/Vladimir
the unseen blade is the deadliest,1,0.99,LoL/Zed
without a sound,0,0.986,LoL/Zed
no technique is forbidden,0,0.967,LoL/Zed
brave the shadows find the truth,1,0.99,LoL/Zed
do not fear the shrouded path,1,0.985,LoL/Zed
balance is a fools master,1,0.952,LoL/Zed
secrets kept are weapons wasted,1,0.958,LoL/Zed
the shadows have enlightened me,1,0.982,LoL/Zed
balance is weakness,0,0.956,LoL/Zed
the truth lies in darkness,1,0.991,LoL/Zed
tradition is the corpse of wisdom,1,0.977,LoL/Zed
what i have done cannot be undone,1,0.924,LoL/Zed
challenge me shen you shall not be an orphan long,1,0.979,LoL/Zed
embrace the shadow or die in darkness,1,0.993,LoL/Zed
the merest shade of me is enough to defeat you,1,0.989,LoL/Zed
zed grunts forbidden shadow wins,1,0.955,LoL/Zed
zed grunts then snarls,0,0.95,LoL/Zed
zed laughs pompously,0,0.981,LoL/Zed
zed laughs pompously,0,0.981,LoL/Zed
zed laughs pompously,0,0.981,LoL/Zed
zed laughs pompously,0,0.981,LoL/Zed
only the worthy will survive,1,0.981,LoL/Zed
i am the blade in the darkness,1,0.992,LoL/Zed
cut the last breath from them,1,0.956,LoL/Zed
the shadow is within,1,0.966,LoL/Zed
they follow the wrong master,1,0.941,LoL/Zed
none escape their shadow,1,0.969,LoL/Zed
ignorance is fatal,1,0.905,LoL/Zed
zed shouts in effort,0,0.963,LoL/Zed
zed shouts in effort,0,0.963,LoL/Zed
zed shouts in effort,0,0.963,LoL/Zed
zed shouts in effort,0,0.963,LoL/Zed
zed shouts in effort,0,0.963,LoL/Zed
zed shouts in effort,0,0.963,LoL/Zed
zed shouts loudly in effort,0,0.948,LoL/Zed
zed shouts loudly in effort,0,0.948,LoL/Zed
zed shouts loudly in effort,0,0.948,LoL/Zed
zed shouts loudly in effort,0,0.948,LoL/Zed
zed chuckles slyly,0,0.982,LoL/Zed
zed chuckles slyly,0,0.982,LoL/Zed
zed chuckles slyly,0,0.982,LoL/Zed
zed chuckles slyly,0,0.982,LoL/Zed
we are life perfected,1,0.98,LoL/Zed
what we have seen what we have done you are all part of it,0,0.971,LoL/Zed
we will cure the galaxy of conflict we will cure the galaxy of ignorance,1,0.992,LoL/Zed
we once bowed before the templars now we are the truth they deny,1,0.991,LoL/Zed
someone here likes ora shall we demonstrate its power,0,0.978,LoL/Zed
the unknown is here,1,0.951,LoL/Zed
tradition pacifies the weak,1,0.905,LoL/Zed
some consider us evil how naive they must be,1,0.983,LoL/Zed
if they want ora we will give it,0,0.988,LoL/Zed
our blades crave battle,1,0.976,LoL/Zed
harmony blooms once the weak wither away,1,0.99,LoL/Zed
listen to the cosmos hear the truth,1,0.967,LoL/Zed
the galaxy will know its destiny,1,0.983,LoL/Zed
beyond the reaches of space we evolve,1,0.97,LoL/Zed
only fools cling to morals,1,0.971,LoL/Zed
we are everywhere all at once,0,0.946,LoL/Zed
a new genesis approaches,0,0.978,LoL/Zed
we walk the path to eternity,1,0.989,LoL/Zed
the templars promise salvation they lie,1,0.991,LoL/Zed
we go where others dare not,1,0.958,LoL/Zed
the weak crave the illusion of balance the worthy enforce true harmony,1,0.987,LoL/Zed
someone must destroy the weak let it be us,1,0.991,LoL/Zed
so many try to hide their worst fears and yet we walk free,1,0.979,LoL/Zed
the galaxy a vast expanse infested by the weak,1,0.985,LoL/Zed
templars demaxians the syndicate all blind fools,1,0.945,LoL/Zed
there is only triumph and we will claim it all,1,0.983,LoL/Zed
they see us as a living weapon we are more than that we are life transcended,1,0.991,LoL/Zed
these creatures waste their ora let us pluck it out,1,0.95,LoL/Zed
we grow ever stronger under the living stars,1,0.981,LoL/Zed
acquire forbidden power defy sacred doctrine this is just the beginning,1,0.987,LoL/Zed
the demaxians conquer planets we enlighten galaxies,1,0.986,LoL/Zed
the templars say our deeds are extreme they are right,1,0.988,LoL/Zed
humanity achieves so little grant them ora and still they wallow in mediocrity,1,0.959,LoL/Zed
before us there was nothing before nothing there were monsters,1,0.99,LoL/Zed
when life grows unchecked cleansing blades are needed,1,0.992,LoL/Zed
they mistake evolution for corruption that is why they will fall,1,0.985,LoL/Zed
you intend to destroy us a grave mistake,1,0.983,LoL/Zed
this pain urges us to kill you though we do not know why,1,0.983,LoL/Zed
what are you,0,0.989,LoL/Zed
worthy spirit jinx but it cannot save you from us,1,0.972,LoL/Zed
malphite we heard you were hard to kill challenge accepted,0,0.911,LoL/Zed
tell us ziggs do space rats go to heaven,1,0.968,LoL/Zed
we offer you a choice die now or die later,1,0.967,LoL/Zed
you are dust we are perfection,1,0.988,LoL/Zed
you will love the way you die we guarantee it,1,0.987,LoL/Zed
cooking is like killing it takes skill and ours is unmatched,1,0.964,LoL/Zed
have you come to dine with us oh wait of course youareus,0,0.97,LoL/Zed
look at us are we not the perfect reflection of your juvenile fantasies,1,0.945,LoL/Zed
your jokes they lack humor,0,0.979,LoL/Zed
zed brings out a boombox,0,0.986,LoL/Zed
zed laughs menacingly and confidently,0,0.911,LoL/Zed
zed laughs menacingly and confidently,0,0.911,LoL/Zed
zed laughs menacingly and confidently,0,0.911,LoL/Zed
zed laughs menacingly and confidently,0,0.911,LoL/Zed
witness our superior form,0,0.98,LoL/Zed
silence your thoughts,0,0.936,LoL/Zed
we bring extinction,1,0.93,LoL/Zed
all will fear us,1,0.977,LoL/Zed
eradicate the weak,1,0.974,LoL/Zed
none shall escape,1,0.928,LoL/Zed
your ora needs release,0,0.97,LoL/Zed
pathetic life form,0,0.922,LoL/Zed
your time is over,0,0.974,LoL/Zed
cut to pieces,0,0.985,LoL/Zed
lets end your existence,1,0.967,LoL/Zed
your body will break,1,0.952,LoL/Zed
all life ends,1,0.958,LoL/Zed
our blades cry out,1,0.921,LoL/Zed
have the decency to die,1,0.927,LoL/Zed
you earned oblivion,1,0.972,LoL/Zed
kayn our first and final lesson begins,0,0.967,LoL/Zed
sona you disappoint us,0,0.971,LoL/Zed
are you worthy of that title captain,0,0.941,LoL/Zed
ready to be disgraced again ziggs,1,0.916,LoL/Zed
we are zed,0,0.974,LoL/Zed
zed laughs menacingly and confidently,0,0.911,LoL/Zed
zed laughs menacingly and confidently,0,0.911,LoL/Zed
so fragile so weak,1,0.949,LoL/Zed
is your entire species this brittle,1,0.96,LoL/Zed
we almost miss your voice jinx it had a certain loud quality,0,0.943,LoL/Zed
not good enough kayn,0,0.984,LoL/Zed
not even close malphite,0,0.964,LoL/Zed
we thought you knew better sona,0,0.987,LoL/Zed
look at the skill look at the moves zed what was that,0,0.987,LoL/Zed
confirmed space rats do not go to heaven,1,0.955,LoL/Zed
we are life we are evolution  we are zed,1,0.984,LoL/Zed
consider this our gift,0,0.981,LoL/Zed
we go to collect untold power,1,0.979,LoL/Zed
nothing can bury us,1,0.98,LoL/Zed
not even death can contain us,1,0.988,LoL/Zed
we do not regret,0,0.969,LoL/Zed
im part of a very exclusive club but dont worry soon enough youll all be members too,0,0.937,LoL/Zed
im more than a man in a fancy suit,0,0.983,LoL/Zed
i look good i feelgood zed chuckles menacingly,0,0.964,LoL/Zed
i own this town inside and out,0,0.954,LoL/Zed
true power deserves a look to match,0,0.972,LoL/Zed
everybody drank the vitae,0,0.982,LoL/Zed
the shadows demand chaos theywillhave it,1,0.992,LoL/Zed
the brighter the town the darker its shadows,1,0.976,LoL/Zed
i am the shadow at your back the dark within your mind,1,0.991,LoL/Zed
my investors are watching closely,0,0.98,LoL/Zed
zed has never looked better,0,0.975,LoL/Zed
dressed to the nines,0,0.98,LoL/Zed
truth hidden is truth wasted,1,0.986,LoL/Zed
i cast a long shadow from the high life,1,0.976,LoL/Zed
what i have done is just the beginning,0,0.975,LoL/Zed
brave the beyond and it will reward you,1,0.986,LoL/Zed
im a wellrespected man,0,0.978,LoL/Zed
all will gutter into darkness,1,0.99,LoL/Zed
my shadows are much more than tricks of the light,1,0.91,LoL/Zed
the dark is intoxicating,1,0.985,LoL/Zed
in the business of killing im always number one,1,0.901,LoL/Zed
if the world must be reborn might as well dress for the occasion,1,0.986,LoL/Zed
you know what they say the suit makes the man the man becomes something more,1,0.976,LoL/Zed
gaze beyond the glitz and glamor and see whats writhing underneath,1,0.951,LoL/Zed
the sun never sets the lights never dim and the shadows bide their time,1,0.985,LoL/Zed
ive struck a lot of deals but this one was too good to pass up,0,0.974,LoL/Zed
the dark is transforming us into what we were always meant to be,1,0.989,LoL/Zed
dark pure untainted,1,0.985,LoL/Zed
time for a night on the town wouldnt you say,0,0.98,LoL/Zed
ah our illustrious highroller draven here to make a bad bet,0,0.966,LoL/Zed
who are you leblanc or should i saywhatare you,0,0.965,LoL/Zed
that shield wont block out their truth leona but you know that,1,0.941,LoL/Zed
you knew what was in the vitae didnt you malz,0,0.975,LoL/Zed
were not hiring another ventriloquist get lost kid,0,0.977,LoL/Zed
i told you we arent hiring another ninja act,0,0.965,LoL/Zed
eldergods crazy for a sharpdressed zed,0,0.982,LoL/Zed
zed laughs pompously,0,0.981,LoL/Zed
zed shouts sharply,0,0.943,LoL/Zed
zed shouts sharply,0,0.943,LoL/Zed
zed shouts sharply,0,0.943,LoL/Zed
they are watching us,0,0.985,LoL/Zed
my patrons wish to know you,0,0.975,LoL/Zed
a glimpse into forever,1,0.904,LoL/Zed
this is your reward,0,0.987,LoL/Zed
looking for me,0,0.99,LoL/Zed
time to make a point,0,0.986,LoL/Zed
this truth comes at a price,1,0.949,LoL/Zed
more than you bargained for,0,0.98,LoL/Zed
fear the living shadows,1,0.99,LoL/Zed
somebody stop me,0,0.98,LoL/Zed
you have earned the truth,1,0.901,LoL/Zed
the house always wins,0,0.983,LoL/Zed
see the power of vitae,0,0.976,LoL/Zed
now for the grand reveal,0,0.986,LoL/Zed
allow me to demonstrate,0,0.989,LoL/Zed
if you insist,0,0.982,LoL/Zed
a cut above,0,0.989,LoL/Zed
a taste of the high life,0,0.952,LoL/Zed
youve drawn my attention,0,0.98,LoL/Zed
ill end this with style,0,0.991,LoL/Zed
here i am,0,0.975,LoL/Zed
zed shouts in great effort,0,0.968,LoL/Zed
zed shouts in great effort,0,0.968,LoL/Zed
zed shouts in great effort,0,0.968,LoL/Zed
zed shouts in great effort,0,0.968,LoL/Zed
behold true darkness,1,0.99,LoL/Zed
no more games,0,0.99,LoL/Zed
the truth before the end,1,0.98,LoL/Zed
zed laughs maniacally,0,0.969,LoL/Zed
zed laughs maniacally,0,0.969,LoL/Zed
zed laughs maniacally,0,0.969,LoL/Zed
i am beyond you and always have been,0,0.927,LoL/Zed
im done with you though my patrons are not,0,0.925,LoL/Zed
dont challenge your betters,0,0.982,LoL/Zed
surprised  you wouldnt be the first,0,0.937,LoL/Zed
i destroyed you and looked fantastic doing it,0,0.922,LoL/Zed
you could never compare,0,0.966,LoL/Zed
jumping at shadows,0,0.922,LoL/Zed
your next vitae shipment just doubled and i want them for free,0,0.97,LoL/Zed
you may be infinite but im the one with the power here,1,0.969,LoL/Zed
you put the vitae in my hand malz you let the old ones in,0,0.942,LoL/Zed
its too late yi nox vegas belongs to the dark,1,0.983,LoL/Zed
the darkness never looked better,1,0.982,LoL/Zed
power comes at a price one i found quite agreeable,0,0.945,LoL/Zed
behind every successful man is something worse,1,0.902,LoL/Zed
they never like my outfit zed laughs sarcastically,0,0.982,LoL/Zed
tailorings a little tight zed chuckles sarcastically,0,0.986,LoL/Zed
theyre in the vitae,0,0.988,LoL/Zed
i exist in every shadow death means nothing,1,0.992,LoL/Zed
it seems the board has reinstated me zed chuckles sarcastically,0,0.96,LoL/Zed
theres more in the vitae than they realize,0,0.965,LoL/Zed
seems the man in the fancy suit just wont stay down,0,0.982,LoL/Zed
how about a magic trick,0,0.991,LoL/Shaco
the jokes on you,0,0.987,LoL/Shaco
this will be fun,0,0.992,LoL/Shaco
here we go,0,0.991,LoL/Shaco
just a little bit closer,0,0.986,LoL/Shaco
march march march march,0,0.961,LoL/Shaco
the jokes on you,0,0.987,LoL/Shaco
why so serious,0,0.984,LoL/Shaco
shaco laughs menacingly,0,0.963,LoL/Shaco
shaco laughs menacingly,0,0.963,LoL/Shaco
shaco laughs menacingly,0,0.963,LoL/Shaco
look behind you,0,0.985,LoL/Shaco
here we go,0,0.991,LoL/Shaco
the jokes on you,0,0.987,LoL/Shaco
march march march march,0,0.961,LoL/Shaco
this will be fun,0,0.992,LoL/Shaco
just a little bit closer,0,0.986,LoL/Shaco
echoed shaco laughs mockingly and deceptively,0,0.979,LoL/Shaco
echoed shaco laughs mockingly and deceptively,0,0.979,LoL/Shaco
echoed shaco laughs mockingly and deceptively,0,0.979,LoL/Shaco
jackinthebox laughs mockingly,0,0.987,LoL/Shaco
jackinthebox laughs mockingly,0,0.987,LoL/Shaco
jackinthebox laughs mockingly,0,0.987,LoL/Shaco
shaco grunts sharply,0,0.97,LoL/Shaco
shaco grunts sharply,0,0.97,LoL/Shaco
shaco laughs mockingly and deceptively,0,0.983,LoL/Shaco
shaco laughs mockingly and deceptively,0,0.983,LoL/Shaco
shaco laughs mockingly and deceptively,0,0.983,LoL/Shaco
shaco yells mockingly then laughs deceptively,0,0.982,LoL/Shaco
shaco yells mockingly then laughs deceptively,0,0.982,LoL/Shaco
shaco laughs maniacally,0,0.982,LoL/Shaco
shaco laughs maniacally,0,0.982,LoL/Shaco
no one fights alone in the mist,1,0.957,LoL/Senna
a strippeddown version of giants plays,0,0.99,LoL/Senna
the mist knows my name it howled it for years but it was only asking for help,1,0.963,LoL/Senna
where im going you dont want to go seriouslyyou dont,0,0.915,LoL/Senna
when theres no more light ill carry their darkness,1,0.991,LoL/Senna
if i can handle this gun i can handle myself trust me i can handle this gun,0,0.908,LoL/Senna
any volunteers to charge blindly into a storm of souls,1,0.99,LoL/Senna
come back to life save the world all with weapons locked thesentinelstrained me right,1,0.991,LoL/Senna
music brings us to life thats worth fighting for,1,0.954,LoL/Senna
so what was it like all that time in the lantern,0,0.98,LoL/Senna
a nightmare lotta darkness food was great though,1,0.951,LoL/Senna
